constraint_name,source_table,source_column,target_table,target_column,delete_rule,update_rule
,redcap_messages_threads,project_id,redcap_projects,project_id,SET NULL,CASCADE
,redcap_metadata,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_metadata_archive,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_metadata_prod_revisions,ui_id_requester,redcap_user_information,ui_id,SET NULL,CASCADE
,redcap_metadata_temp,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_mobile_app_devices,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_mobile_app_files,user_id,redcap_user_information,ui_id,SET NULL,CASCADE
,redcap_mobile_app_log,ui_id,redcap_user_information,ui_id,SET NULL,CASCADE
,redcap_multilanguage_config,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_multilanguage_config_temp,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_multilanguage_metadata,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_multilanguage_metadata_temp,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_multilanguage_snapshots,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_multilanguage_ui,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_multilanguage_ui_temp,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_mycap_aboutpages,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_mycap_contacts,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_mycap_links,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_mycap_message_notifications,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_mycap_messages,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_mycap_participants,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_mycap_projectfiles,project_code,redcap_mycap_projects,code,CASCADE,CASCADE
,redcap_mycap_projects,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_mycap_syncissuefiles,uuid,redcap_mycap_syncissues,uuid,CASCADE,CASCADE
,redcap_mycap_syncissues,event_id,redcap_events_metadata,event_id,CASCADE,CASCADE
,redcap_mycap_tasks,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_mycap_tasks_schedules,task_id,redcap_mycap_tasks,task_id,CASCADE,CASCADE
,redcap_mycap_themes,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_new_record_cache,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_outgoing_email_sms_identifiers,ssq_id,redcap_surveys_scheduler_queue,ssq_id,CASCADE,CASCADE
,redcap_outgoing_email_sms_log,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_pdf_image_cache,pdf_doc_id,redcap_edocs_metadata,doc_id,CASCADE,CASCADE
,redcap_pdf_snapshots,trigger_surveycomplete_survey_id,redcap_surveys,survey_id,CASCADE,CASCADE
,redcap_pdf_snapshots_triggered,snapshot_id,redcap_pdf_snapshots,snapshot_id,CASCADE,CASCADE
,redcap_project_checklist,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_project_dashboards,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_project_dashboards_access_dags,group_id,redcap_data_access_groups,group_id,CASCADE,CASCADE
,redcap_project_dashboards_access_roles,role_id,redcap_user_roles,role_id,CASCADE,CASCADE
,redcap_project_dashboards_access_users,dash_id,redcap_project_dashboards,dash_id,CASCADE,CASCADE
,redcap_project_dashboards_folders,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_project_dashboards_folders_items,folder_id,redcap_project_dashboards_folders,folder_id,CASCADE,CASCADE
,redcap_projects,template_id,redcap_projects,project_id,SET NULL,CASCADE
,redcap_projects_templates,project_id,redcap_projects,project_id,CASCADE,CASCADE
,redcap_projects_user_hidden,ui_id,redcap_user_information,ui_id,CASCADE,CASCADE
,redcap_pub_articles,pubsrc_id,redcap_pub_sources,pubsrc_id,,
,redcap_pub_authors,article_id,redcap_pub_articles,article_id,CASCADE,CASCADE
,redcap_pub_matches,project_id,redcap_projects,project_id,,CASCADE
,redcap_pub_mesh_terms,article_id,redcap_pub_articles,article_id,CASCADE,CASCADE
